Isolate_Id,HA Segment_Id,Isolate_Name,Subtype,Host,Collection_Date
EPI_ISL_374136,EPI1534376|A/chicken/Hubei/H1357/2018,A_chicken_Hubei_H1357_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374135,EPI1534375|A/chicken/Hubei/H1353/2018,A_chicken_Hubei_H1353_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374134,EPI1534374|A/chicken/Hubei/H1349/2018,A_chicken_Hubei_H1349_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374133,EPI1534373|A/chicken/Hubei/H1081/2018,A_chicken_Hubei_H1081_2018,A_/_H9N2,Chicken,2018-04-10
EPI_ISL_374132,EPI1534372|A/chicken/Hubei/H1080/2018,A_chicken_Hubei_H1080_2018,A_/_H9N2,Chicken,2018-04-10
EPI_ISL_374130,EPI1534370|A/chicken/Guangxi/GX1300/2018,A_chicken_Guangxi_GX1300_2018,A_/_H9N2,Chicken,2018-01-23
EPI_ISL_374129,EPI1534369|A/chicken/Guangxi/GX1274/2018,A_chicken_Guangxi_GX1274_2018,A_/_H9N2,Chicken,2018-01-23
EPI_ISL_374128,EPI1534368|A/chicken/Guangxi/GX1262/2018,A_chicken_Guangxi_GX1262_2018,A_/_H9N2,Chicken,2018-01-23
EPI_ISL_374127,EPI1534367|A/chicken/Guangxi/GX1261/2018,A_chicken_Guangxi_GX1261_2018,A_/_H9N2,Chicken,2018-01-23
EPI_ISL_374126,EPI1534366|A/chicken/Guangxi/GX1258/2018,A_chicken_Guangxi_GX1258_2018,A_/_H9N2,Chicken,2018-01-23
EPI_ISL_374125,EPI1534365|A/chicken/Guangdong/G1428/2018,A_chicken_Guangdong_G1428_2018,A_/_H9N2,Chicken,2018-03-12
EPI_ISL_374124,EPI1534364|A/chicken/Guangdong/G1425/2018,A_chicken_Guangdong_G1425_2018,A_/_H9N2,Chicken,2018-03-12
EPI_ISL_374123,EPI1534363|A/chicken/Guangdong/G1400/2018,A_chicken_Guangdong_G1400_2018,A_/_H9N2,Chicken,2018-03-12
EPI_ISL_374122,EPI1534362|A/chicken/Guangdong/G1319/2018,A_chicken_Guangdong_G1319_2018,A_/_H9N2,Chicken,2018-03-12
EPI_ISL_374121,EPI1534361|A/chicken/Guangdong/G1316/2018,A_chicken_Guangdong_G1316_2018,A_/_H9N2,Chicken,2018-03-12
EPI_ISL_374120,EPI1534360|A/chicken/Guangdong/G1313/2018,A_chicken_Guangdong_G1313_2018,A_/_H9N2,Chicken,2018-03-12
EPI_ISL_374119,EPI1534359|A/chicken/Guangdong/G1312/2018,A_chicken_Guangdong_G1312_2018,A_/_H9N2,Chicken,2018-03-12
EPI_ISL_374118,EPI1534358|A/chicken/Guangdong/G1311/2018,A_chicken_Guangdong_G1311_2018,A_/_H9N2,Chicken,2018-03-12
EPI_ISL_374117,EPI1534357|A/chicken/Guangdong/G1290/2018,A_chicken_Guangdong_G1290_2018,A_/_H9N2,Chicken,2018-03-12
EPI_ISL_374116,EPI1534356|A/chicken/Guangdong/G1283/2018,A_chicken_Guangdong_G1283_2018,A_/_H9N2,Chicken,2018-03-12
EPI_ISL_374115,EPI1534355|A/chicken/Guangdong/G1272/2018,A_chicken_Guangdong_G1272_2018,A_/_H9N2,Chicken,2018-03-12
EPI_ISL_374114,EPI1534354|A/chicken/Guangdong/G1057/2018,A_chicken_Guangdong_G1057_2018,A_/_H9N2,Chicken,2018-03-12
EPI_ISL_374113,EPI1534353|A/chicken/Guangdong/G1040/2018,A_chicken_Guangdong_G1040_2018,A_/_H9N2,Chicken,2018-03-12
EPI_ISL_374106,EPI1534340|A/chicken/Fujian/LJ8/2017,A_chicken_Fujian_LJ8_2017,A_/_H9N2,Chicken,2017-02-04
EPI_ISL_374105,EPI1534339|A/chicken/Fujian/J99/2017,A_chicken_Fujian_J99_2017,A_/_H9N2,Chicken,2017-02-03
EPI_ISL_374104,EPI1534338|A/chicken/Fujian/J09/2017,A_chicken_Fujian_J09_2017,A_/_H9N2,Chicken,2017-02-03
EPI_ISL_374103,EPI1534337|A/chicken/Fujian/J79/2017,A_chicken_Fujian_J79_2017,A_/_H9N2,Chicken,2017-02-03
EPI_ISL_374102,EPI1534336|A/chicken/Fujian/J70/2017,A_chicken_Fujian_J70_2017,A_/_H9N2,Chicken,2017-02-03
EPI_ISL_374101,EPI1534335|A/chicken/Fujian/J58/2017,A_chicken_Fujian_J58_2017,A_/_H9N2,Chicken,2017-02-03
EPI_ISL_374100,EPI1534334|A/chicken/Fujian/J57/2017,A_chicken_Fujian_J57_2017,A_/_H9N2,Chicken,2017-02-03
EPI_ISL_374099,EPI1534333|A/chicken/Fujian/J12/2017,A_chicken_Fujian_J12_2017,A_/_H9N2,Chicken,2017-02-03
EPI_ISL_374098,EPI1534332|A/chicken/Fujian/I33/2017,A_chicken_Fujian_I33_2017,A_/_H9N2,Chicken,2017-02-04
EPI_ISL_374097,EPI1534331|A/chicken/Fujian/F2419/2017,A_chicken_Fujian_F2419_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374096,EPI1534330|A/chicken/Fujian/F2418/2017,A_chicken_Fujian_F2418_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374095,EPI1534329|A/chicken/Fujian/F2410/2017,A_chicken_Fujian_F2410_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374089,EPI1534323|A/chicken/Fujian/F2378/2017,A_chicken_Fujian_F2378_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374086,EPI1534320|A/chicken/Fujian/F2285/2017,A_chicken_Fujian_F2285_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374085,EPI1534319|A/chicken/Fujian/F2203/2017,A_chicken_Fujian_F2203_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374084,EPI1534318|A/chicken/Fujian/F2183/2017,A_chicken_Fujian_F2183_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374083,EPI1534317|A/chicken/Fujian/F2173/2017,A_chicken_Fujian_F2173_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374082,EPI1534316|A/chicken/Fujian/F2134/2017,A_chicken_Fujian_F2134_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374081,EPI1534315|A/chicken/Fujian/F2131/2017,A_chicken_Fujian_F2131_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374080,EPI1534314|A/chicken/Fujian/F2129/2017,A_chicken_Fujian_F2129_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374079,EPI1534313|A/chicken/Fujian/F2128/2017,A_chicken_Fujian_F2128_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374078,EPI1534312|A/chicken/Fujian/F2110/2017,A_chicken_Fujian_F2110_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374077,EPI1534311|A/chicken/Fujian/F2109/2017,A_chicken_Fujian_F2109_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374076,EPI1534310|A/chicken/Fujian/F2106/2017,A_chicken_Fujian_F2106_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374075,EPI1534309|A/chicken/Fujian/F2103/2017,A_chicken_Fujian_F2103_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374074,EPI1534308|A/chicken/Fujian/F2102/2017,A_chicken_Fujian_F2102_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374073,EPI1534307|A/chicken/Fujian/F2097/2017,A_chicken_Fujian_F2097_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374072,EPI1534306|A/chicken/Fujian/F2091/2017,A_chicken_Fujian_F2091_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374071,EPI1534305|A/chicken/Fujian/F2068/2017,A_chicken_Fujian_F2068_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374070,EPI1534304|A/chicken/Fujian/F2067/2017,A_chicken_Fujian_F2067_2017,A_/_H9N2,Chicken,2017-02-06
EPI_ISL_374069,EPI1534303|A/chicken/Fujian/J53/2017,A_chicken_Fujian_J53_2017,A_/_H9N2,Chicken,2017-02-03
